value,count,n_files,knoten_kandidat_n>=3,files
Bruxelles-Propreté / Net Brussel,1,1,,Recypark_Demets_Anderlecht.md
51N4E,1,1,,Recypark_Demets_Anderlecht.md
Witteveen+Bos,1,1,,Recypark_Demets_Anderlecht.md
Rotor asbl,1,1,,Recypark_Demets_Anderlecht.md
Bureau Greisch,1,1,,Recypark_Demets_Anderlecht.md
Détang,1,1,,Recypark_Demets_Anderlecht.md
SecuriSan,1,1,,Recypark_Demets_Anderlecht.md
Les Marneurs / Janne Saario,1,1,,Recypark_Demets_Anderlecht.md
Art Valens,1,1,,Recypark_Demets_Anderlecht.md
Novaedia / Novædia,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Frédéric Denise / Archipel Zéro,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
SOCOTEC,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Depuis 1920,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Terraterre,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Lendager Group / Lendager Architects,1,1,,Resource_Rows_Copenhagen.md
Saxum Vineyards,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Clayton & Little / Clayton Korte,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
SSG Structural Engineers,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Rarig Construction,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Maurer United,1,1,,Superlocal_Expogebouw_Bleijerheide.md
HEEMwonen,1,1,,Superlocal_Expogebouw_Bleijerheide.md
"Gemeinde Kerkrade, IBA Parkstad",1,1,,Superlocal_Expogebouw_Bleijerheide.md
Volantis,1,1,,Superlocal_Expogebouw_Bleijerheide.md
Dusseldorp,1,1,,Superlocal_Expogebouw_Bleijerheide.md
Bouwbedrijven Jongen,1,1,,Superlocal_Expogebouw_Bleijerheide.md
Gladsaxe Municipality / Gladsaxe Kommune,1,1,,Svanen_Kindergarten_Gladsaxe.md
Sweco / Sweco Architects,1,1,,Svanen_Kindergarten_Gladsaxe.md
