severity,category,element_id,labels,node_id,node_name,property,detail,value_sample
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17116,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159818741047886035,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17117,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162070540861571283,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17118,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141524,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17119,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152989674327769300,,,Node has no non-empty name property.,
low,blank_list_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1712,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_reuse_graph_gaps_url_8d4d445a,ce-marking-for-construction-products-supervision-and-control,url_redirect_chain,Property is an empty list.,[]
low,long_text_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1712,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_reuse_graph_gaps_url_8d4d445a,ce-marking-for-construction-products-supervision-and-control,url_response_headers,Text/list property is 2695 characters.,"{""accept-ranges"": ""bytes"", ""alt-svc"": ""h3=\"":443\""; ma=93600"", ""cache-control"": ""must-revalidate, max-age=60"", ""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-length"": ""48258"", ""content-security-policy""…"
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17120,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152996271397535956,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17121,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152998470420791508,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17122,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155250270234476756,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17123,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152999569932419284,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17124,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955674836,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17125,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153002868467302612,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17126,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153007266513813716,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17127,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155259066327498964,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17128,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153008366025441492,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17129,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153009465537069268,,,Node has no non-empty name property.,
low,long_text_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1713,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_reuse_graph_gaps_url_a94c2d79,ct-on-construction-products-construction-products-act-baupg/,url_response_headers,Text/list property is 689 characters.,"{""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""frame-ancestors 'self';"", ""content-type"": ""text/html; charset=UTF-8"", ""date"": ""Thu, 21 May 2026 22:23:12 GMT"", ""link"": ""<https://openb…"
