property,nodes_with_property,label_count,labels,flags
source_url_node_ids,1978,8,Akteur:126; Dossier:100; ExternalLink:1610; OntologyAnchor:1; Projekt:1; Quelle:1850; ResearchDocument:333; SectionRef:634,provenance_key
url_body_cache_format,1955,4,ExternalLink:1955; Quelle:1955; ResearchDocument:162; SectionRef:496,provenance_key
url_body_cache_path,1905,4,ExternalLink:1905; Quelle:1905; ResearchDocument:148; SectionRef:489,provenance_key
url_body_md5,1905,4,ExternalLink:1905; Quelle:1905; ResearchDocument:148; SectionRef:489,provenance_key
candidate_source_status,1765,21,Akteur:558; Aufbereitungsverfahren:52; Bauteilgruppe:308; Bauteiltyp:8; Bauwerk:173; Dossier:77; Kennwert:164; Leistungsanforderung:41; Material:10; Materialdepot:23; Norm:78; Programm:13; Projekt:98; PruefungNachweis:113; Quelle:79; ResearchDocument:2; ReuseRule:20; Software:10; Tool:4; Verbindungstechnik:3; Wiederverwendungskette:14,provenance_key
candidate_source_urls,1765,21,Akteur:558; Aufbereitungsverfahren:52; Bauteilgruppe:308; Bauteiltyp:8; Bauwerk:173; Dossier:77; Kennwert:164; Leistungsanforderung:41; Material:10; Materialdepot:23; Norm:78; Programm:13; Projekt:98; PruefungNachweis:113; Quelle:79; ResearchDocument:2; ReuseRule:20; Software:10; Tool:4; Verbindungstechnik:3; Wiederverwendungskette:14,provenance_key
primary_source_url,1741,12,Akteur:138; Dossier:71; ExternalLink:1415; Kennwert:52; OntologyAnchor:1; Programm:6; Projekt:33; PruefungNachweis:5; Quelle:1486; ResearchDocument:30; ReuseRule:20; SectionRef:634,provenance_key
source_count,1741,12,Akteur:138; Dossier:71; ExternalLink:1415; Kennwert:52; OntologyAnchor:1; Programm:6; Projekt:33; PruefungNachweis:5; Quelle:1486; ResearchDocument:30; ReuseRule:20; SectionRef:634,provenance_key
source_urls,1741,12,Akteur:138; Dossier:71; ExternalLink:1415; Kennwert:52; OntologyAnchor:1; Programm:6; Projekt:33; PruefungNachweis:5; Quelle:1486; ResearchDocument:30; ReuseRule:20; SectionRef:634,provenance_key
source_url,1630,8,Akteur:29; Dossier:2; ExternalLink:1578; Projekt:1; Quelle:1580; ResearchDocument:193; ReuseRule:20; SectionRef:634,provenance_key
_archive,1331,10,Akteur:126; Bauteilgruppe:308; Bauwerk:85; Dossier:80; ExternalLink:628; Materialdepot:16; Programm:4; Projekt:84; Quelle:708; SectionRef:46,
source_freshness_summary,935,3,Akteur:648; Bauwerk:186; Projekt:101,provenance_key
source_quality_summary,935,3,Akteur:648; Bauwerk:186; Projekt:101,provenance_key
also_in_dossier,930,2,ExternalLink:930; Quelle:930,
also_in_edge,930,2,ExternalLink:930; Quelle:930,
also_in_node,930,2,ExternalLink:930; Quelle:930,
detected_at,921,1,DataIssue:921,
message,921,1,DataIssue:921,
subject_id,921,1,DataIssue:921,
subject_label,921,1,DataIssue:921,
name_full,803,20,Akteur:86; Akzeptanz:7; Bauproduktstatus:15; Bauteilgruppe:331; Bauteiltyp:1; Bauwerk:161; Defekt:8; Marktmodell:10; MatchingQualitaet:9; Material:5; Materialdepot:23; Materialgruppe:1; Norm:32; OntologyAnchor:1; Programm:16; Projekt:71; Software:6; Tool:2; Wiederverwendungskette:14; ZustandsKlasse:6,core
source_trust_score,788,3,Akteur:511; Bauwerk:186; Projekt:91,provenance_key
invalid_candidate_source_urls,694,16,Akteur:216; Bauteilgruppe:160; Bauwerk:90; Dossier:40; ExternalLink:32; Kennwert:88; Materialdepot:10; Norm:1; Programm:2; Projekt:39; Quelle:79; SectionRef:7; Software:4; Tool:3; Verbindungstechnik:1; Wiederverwendungskette:4,provenance_key
_created_at,659,4,Dossier:24; ExternalLink:628; Quelle:659; SectionRef:589,
_created_by,659,4,Dossier:24; ExternalLink:628; Quelle:659; SectionRef:589,
strict_candidate_url_array_cleanup,655,14,Akteur:216; Bauteilgruppe:160; Bauwerk:90; Dossier:40; Kennwert:88; Materialdepot:10; Norm:1; Programm:2; Projekt:39; Quelle:40; Software:4; Tool:3; Verbindungstechnik:1; Wiederverwendungskette:4,provenance_key
strict_candidate_url_array_cleanup_at,655,14,Akteur:216; Bauteilgruppe:160; Bauwerk:90; Dossier:40; Kennwert:88; Materialdepot:10; Norm:1; Programm:2; Projekt:39; Quelle:40; Software:4; Tool:3; Verbindungstechnik:1; Wiederverwendungskette:4,provenance_key
source_file,632,6,Akteur:1; Dossier:100; ExternalLink:319; OntologyAnchor:2; Quelle:629; ResearchDocument:210,core; provenance_key
first_seen_in_dossier,597,2,ExternalLink:597; Quelle:597,
actor_registry_loader_seen,533,7,Akteur:192; ExternalLink:277; Land:10; OntologyAnchor:1; Programm:4; Projekt:49; Quelle:277,
url_last_modified_header,477,4,ExternalLink:477; Quelle:477; ResearchDocument:73; SectionRef:100,provenance_key
last_seen_by,442,10,Aufbereitungsverfahren:52; Bauteiltyp:8; ExternalLink:193; Leistungsanforderung:41; Material:8; PruefungNachweis:113; Quelle:201; ResearchDocument:201; Schadstoff:9; Verbindungstechnik:10,
bg_kind,369,1,Bauteilgruppe:369,
primary_bauteiltyp_id,369,1,Bauteilgruppe:369,
primary_material_id,369,1,Bauteilgruppe:369,
reuse_status,369,1,Bauteilgruppe:369,
created_by,365,10,Aufbereitungsverfahren:17; Bauteiltyp:7; ExternalLink:193; Leistungsanforderung:34; Material:2; PruefungNachweis:100; Quelle:201; ResearchDocument:201; Schadstoff:1; Verbindungstechnik:3,
strict_invalid_url_cleanup,355,10,Akteur:138; Dossier:71; ExternalLink:30; Kennwert:52; Programm:6; Projekt:33; PruefungNachweis:5; Quelle:101; ResearchDocument:30; ReuseRule:20,provenance_key
strict_invalid_url_cleanup_at,355,10,Akteur:138; Dossier:71; ExternalLink:30; Kennwert:52; Programm:6; Projekt:33; PruefungNachweis:5; Quelle:101; ResearchDocument:30; ReuseRule:20,provenance_key
exact_match_label,306,1,DossierEntityTarget:306,
exact_match_node_id,306,1,DossierEntityTarget:306,
alte_funktion,297,1,Bauteilgruppe:297,
neue_funktion,297,1,Bauteilgruppe:297,
category,258,1,Kennwert:258,
einheit,258,1,Kennwert:258,
fact_index,258,1,Kennwert:258,
kennwert,258,1,Kennwert:258,
loader,258,1,Kennwert:258,
raw_property,258,1,Kennwert:258,
wert_text,258,1,Kennwert:258,
url_wayback_snapshot,219,4,ExternalLink:219; Quelle:219; ResearchDocument:14; SectionRef:49,provenance_key
url_wayback_timestamp,219,4,ExternalLink:219; Quelle:219; ResearchDocument:14; SectionRef:49,provenance_key
bilanzgrenze,216,1,Kennwert:216,
method,216,1,Kennwert:216,
source_id,216,1,Kennwert:216,provenance_key
era_unknown,201,2,Bauwerk:178; Materialdepot:23,
raw_role_evidence,155,1,Akteur:155,provenance_key
wert,154,1,Kennwert:154,
scope_note,153,19,Akteurrolle:1; Akzeptanz:7; Aufbereitungsverfahren:34; Bauproduktstatus:15; Bauteiltyp:1; Defekt:10; Geltungsbereich:6; LCAModule:5; Marktmodell:11; MatchingQualitaet:9; Material:1; Materialgruppe:1; Norm:16; Programm:3; PruefungNachweis:9; RechtlicheBedingung:8; Verbindungstechnik:4; Wirtschaft:6; ZustandsKlasse:6,core
tragend,126,1,Bauteilgruppe:126,
raeumlich,118,1,Bauteilgruppe:118,
quality_tier,105,2,Programm:4; Projekt:101,
invalid_source_url,104,3,DataIssue:72; ExternalLink:32; Quelle:32,provenance_key
quality_tier_facts,101,1,Projekt:101,
text_content_chars_pre_strip,100,2,Dossier:100; Quelle:100,
text_content_stripped_at,100,2,Dossier:100; Quelle:100,
nutzung_text,97,3,Bauwerk:81; Materialdepot:6; Projekt:10,
text_content_loaded_at,95,2,Dossier:95; Quelle:95,
co2_facts,91,2,Programm:4; Projekt:87,
cost_facts,91,2,Programm:4; Projekt:87,
reuse_share_facts,91,2,Programm:4; Projekt:87,
land,89,3,Akteur:86; Bauwerk:2; Materialdepot:1,
huelle,82,1,Bauteilgruppe:82,
bewertung,75,1,Projekt:75,
projektstatus_text,74,1,Projekt:74,
aliases,65,13,Akteur:16; Akteurrolle:9; Akteurtyp:1; Dossier:16; Land:2; Leistungsanforderung:1; Material:1; Norm:3; Programm:5; Quelle:16; Stadt:1; Status:2; Zertifizierungssystem:8,core
raw_year_fields,53,1,Projekt:53,
menge_unbekannt,43,1,Bauteilgruppe:43,
year_completed,42,1,Projekt:42,
strict_node_url_array_cleanup,39,3,ExternalLink:32; Quelle:39; SectionRef:7,provenance_key
strict_node_url_array_cleanup_at,39,3,ExternalLink:32; Quelle:39; SectionRef:7,provenance_key
area_m2_gross,36,1,Projekt:36,
technisch,35,1,Bauteilgruppe:35,
review_run,31,1,Akteur:31,
country_iso,27,2,Land:7; ReuseRule:20,
donor_resolution_status,26,1,Bauteilgruppe:26,
donor_unknown,24,1,Bauteilgruppe:24,
is_material_depot,23,1,Materialdepot:23,
node_role,22,2,Programm:10; Projekt:12,
legal_conditions,21,3,Quelle:1; ResearchDocument:1; ReuseRule:20,
actor_registry_mentioned,20,2,Programm:6; Projekt:14,
country_name,20,1,ReuseRule:20,
key_norms,20,1,ReuseRule:20,
material,20,1,ReuseRule:20,
material_id,20,1,ReuseRule:20,
menge_stueck,20,1,Bauteilgruppe:20,
pollutant_risks,20,1,ReuseRule:20,
priority,20,1,ReuseRule:20,
processing_methods,20,1,ReuseRule:20,
project_cluster,20,1,ReuseRule:20,
rank,20,1,ReuseRule:20,
required_tests,20,1,ReuseRule:20,
suggested_graph_action,20,1,ReuseRule:20,
access_date,17,3,Dossier:16; OntologyAnchor:1; Quelle:16,
country_iso2,16,1,Land:16,
brand_layer,15,1,Bauteiltyp:15,
classified_at,14,3,Leistungsanforderung:3; Norm:5; Programm:6,known_legacy_review
country_short,14,1,Norm:14,
menge_m2,14,1,Bauteilgruppe:14,
project_category,14,2,Programm:5; Projekt:9,
deprecated_at,13,1,DeprecatedType:13,
deprecated_by,13,1,DeprecatedType:13,
new_name,13,1,DeprecatedType:13,
old_name,13,1,DeprecatedType:13,
reason,13,1,DeprecatedType:13,
short_description,13,1,Programm:13,
type,13,1,Programm:13,
pcb_verbot_jahr,12,1,Land:12,
area_m2_range_max,11,1,Projekt:11,
area_m2_range_min,11,1,Projekt:11,
asbest_verbot_jahr,11,1,Land:11,
facet,11,1,WiederverwendungsArt:11,
menge_original_key,11,1,Bauteilgruppe:11,
menge_source,11,1,Bauteilgruppe:11,provenance_key
usage_countries,11,1,Programm:11,known_legacy_review
usage_project_count,11,1,Programm:11,known_legacy_review
host_institution,10,1,Programm:10,
scope,10,3,Leistungsanforderung:2; Norm:5; Schadstoff:3,known_legacy_review
topic,10,3,Leistungsanforderung:2; Norm:5; Schadstoff:3,known_legacy_review
flaeche_m2,9,2,Bauwerk:8; Materialdepot:1,
