label,node_count,distinct_property_keys,property_keys
SectionRef,641,41,_archive; _created_at; _created_by; extracted_at; id; invalid_candidate_source_urls; migration_origin; name; primary_source_url; quelltyp; source_count; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_url; source_url_node_ids; source_urls; strict_node_url_array_cleanup; strict_node_url_array_cleanup_at; url; url_body_cache_format; url_body_cache_path; url_body_md5; url_content_length_bytes; url_content_type; url_final_url; url_http_code; url_last_checked_at; url_last_modified_header; url_origin; url_probe_attempts; url_probe_duration_ms; url_redirect_chain; url_response_headers; url_server_header; url_status; url_user_agent; url_wayback_attempted; url_wayback_snapshot; url_wayback_timestamp
Software,19,20,candidate_source_count; candidate_source_status; candidate_source_urls; funktion; id; invalid_candidate_source_urls; kind; migration_origin; name; name_full; note; review_status; software_basis; source_resolution_status; source_scope; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Stadt,76,4,aliases; id; name; source_scope
Status,9,7,aliases; id; kind; migration_origin; name; source_scope; source_urls_updated_at
Tool,8,20,candidate_source_count; candidate_source_status; candidate_source_urls; funktion; id; invalid_candidate_source_urls; kind; migration_origin; name; name_full; note; review_status; software_basis; source_resolution_status; source_scope; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Tragwerksprinzip,4,5,id; migration_origin; name; source_scope; source_urls_updated_at
Verbindungstechnik,15,19,candidate_source_count; candidate_source_status; candidate_source_urls; created_by; id; invalid_candidate_source_urls; last_seen_by; migration_origin; name; note; review_status; scope_note; source_resolution_status; source_scope; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
WiederverwendungsArt,11,6,facet; id; migration_origin; name; source_scope; source_urls_updated_at
Wiederverwendungskette,14,21,beschaffungsweg; candidate_source_count; candidate_source_status; candidate_source_urls; distanz_km; id; invalid_candidate_source_urls; methodische_abgrenzung; migration_origin; name; name_full; prozess; review_status; source_resolution_status; source_scope; source_urls_updated_at; status; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Wirtschaft,12,6,id; migration_origin; name; scope_note; source_scope; source_urls_updated_at
Zertifizierungssystem,8,15,aliases; evidence_basis; evidence_confidence; evidence_origin; evidence_source_id; id; migration_origin; name; review_status; scheme_kind; source_resolution_status; source_scope; source_urls_updated_at; strict_source_url_cleanup; strict_source_url_cleanup_at
ZustandsKlasse,6,7,id; migration_origin; name; name_full; scope_note; source_scope; source_urls_updated_at
