"entity","id","typed_path","title","build_status","markdown_path","dateien_file_count","imported_source_count"
"akteur_beteiligung","Big_Dig_Building_Boston__001__Single_Speed_Design_SsD","akteur_beteiligung/Big_Dig_Building_Boston__001__Single_Speed_Design_SsD","Single Speed Design / SsD - Big Dig Building, Boston/Cambridge — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Big_Dig_Building_Boston__001__Single_Speed_Design_SsD/index.md","1","1"
"akteur_beteiligung","Big_Dig_Building_Boston__002__John_Hong_Jinhee_Park_Paul_Pedini","akteur_beteiligung/Big_Dig_Building_Boston__002__John_Hong_Jinhee_Park_Paul_Pedini","John Hong, Jinhee Park, Paul Pedini - Big Dig Building, Boston/Cambridge — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Big_Dig_Building_Boston__002__John_Hong_Jinhee_Park_Paul_Pedini/index.md","1","1"
"akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__001__Paul_Pedini","akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__001__Paul_Pedini","Paul Pedini - Big Dig House, Lexington, Massachusetts — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__001__Paul_Pedini/index.md","1","1"
"akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__002__Single_Speed_Design","akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__002__Single_Speed_Design","Single Speed Design - Big Dig House, Lexington, Massachusetts — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__002__Single_Speed_Design/index.md","1","1"
"akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__003__John_Hong","akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__003__John_Hong","John Hong - Big Dig House, Lexington, Massachusetts — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__003__John_Hong/index.md","1","1"
"akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__004__Jinhee_Park","akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__004__Jinhee_Park","Jinhee Park - Big Dig House, Lexington, Massachusetts — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__004__Jinhee_Park/index.md","1","1"
"akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates","akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates","Weidlinger Associates - Big Dig House, Lexington, Massachusetts — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates/index.md","1","1"
"akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__001__BioPartner_Center_Leiden","akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__001__BioPartner_Center_Leiden","BioPartner Center Leiden - BioPartner 5, Leiden / Oegstgeest — Fallstudie Direct Reuse / Wiederverwendung","promoted_phase42","_database/akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__001__BioPartner_Center_Leiden/index.md","1","1"
"akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__002__Popma_ter_Steege_Architecten_PTSA","akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__002__Popma_ter_Steege_Architecten_PTSA","Popma ter Steege Architecten / PTSA - BioPartner 5, Leiden / Oegstgeest — Fallstudie Direct Reuse / Wiederverwendung","promoted_phase42","_database/akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__002__Popma_ter_Steege_Architecten_PTSA/index.md","1","1"
"akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__003__IMd_Raadgevende_Ingenieurs","akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__003__IMd_Raadgevende_Ingenieurs","IMd Raadgevende Ingenieurs - BioPartner 5, Leiden / Oegstgeest — Fallstudie Direct Reuse / Wiederverwendung","promoted_phase42","_database/akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__003__IMd_Raadgevende_Ingenieurs/index.md","1","1"
