"target","reference_count","role","legacy_path","action"
"software_digitaltool/Rhino","2","primary","werkzeug\Rhino.md","semantic_move"
"bauaufgabe_intervention/Aufstockung","2","primary","projekt\Aufstockung.md","semantic_move"
"bauaufgabe_intervention/Aufstockung","2","primary","tragwerkssystem\Aufstockung_in_Holzbauweise.md","semantic_split"
"akteur/Architects_for_Future_Deutschland","2","primary","akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md","move_as_core"
"akteur/Architects_for_Future_Deutschland","2","secondary","akteur\08_digitale_plattformen_daten\Abriss_Atlas.md","semantic_move"
"software_digitaltool/one_click_lca","2","primary","software\one-click-lca\index.md","move_as_core"
"software_digitaltool/one_click_lca","2","primary","werkzeug\One_Click_Lca.md","semantic_move"
"software_digitaltool/klimaschutz_konfigurator","2","primary","software\klimaschutz-konfigurator\index.md","move_as_core"
"software_digitaltool/klimaschutz_konfigurator","2","primary","werkzeug\Klimaschutz_Konfigurator.md","semantic_move"
"foerderprogramm/PREUSE","2","primary","fallstudie\PREUSE.md","keep_or_split_case"
"foerderprogramm/PREUSE","2","primary","foerderprogramm\PREUSE.md","move_as_core_or_context"
"software_digitaltool/cycle_up","2","primary","bauteilboerse\cycle-up.md","split_platform_profile"
"software_digitaltool/cycle_up","2","primary","werkzeug\Cycle_Up.md","semantic_move"
"bauteiltyp/Traeger","2","primary","bauteil\Traeger.md","move_as_knot"
"bauteiltyp/Traeger","2","primary","tragwerkssystem\to_sort\Träger.md","semantic_review_split"
"software_digitaltool/loopfront","2","primary","bauteilboerse\loopfront.md","split_platform_profile"
"software_digitaltool/loopfront","2","primary","werkzeug\Loopfront.md","semantic_move"
"software_digitaltool/globechain","2","primary","bauteilboerse\globechain.md","split_platform_profile"
"software_digitaltool/globechain","2","primary","werkzeug\Globechain.md","semantic_move"
"bauteiltyp/Fachwerktraeger","2","primary","bauteil\Fachwerktraeger.md","move_as_knot"
"bauteiltyp/Fachwerktraeger","2","secondary","tragwerkssystem\Dachtragwerk_und_Fachwerk.md","semantic_split"
