"source","relation","old_target","new_target","raw_label","old_confidence","new_confidence","old_resolution_rule","new_resolution_rule"
"reuse_einsatz/Upcycle_Studios_Copenhagen__009__Sanit_r_Beleuchtung_TGA","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Sanitär / Beleuchtung / TGA","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Upcycle_Studios_Copenhagen__009__Sanit_r_Beleuchtung_TGA","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Sanitär / Beleuchtung / TGA","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Verbiest_Karreveld_Brussels__002__Karreveld_abgeh_ngte_Decken_Leuchten","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Karreveld abgehängte Decken + Leuchten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Verbiest_Karreveld_Brussels__004__Karreveld_Toiletten","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Karreveld Toiletten","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Verbiest_Karreveld_Brussels__005__Karreveld_technische_Sch_chte","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Karreveld technische Schächte","rule_high","rule_high","bauteil_schacht","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Villa_Welpeloo_Enschede__003__Bau_Montagelift_als_Innenlift","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Bau-/Montagelift als Innenlift","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Villa_Welpeloo_Enschede__006__Regenschirmrippen_Leuchten","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Regenschirmrippen-Leuchten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Villa_Welpeloo_Enschede__011__Sanit_r","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Sanitär","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__007__WC_Sanit_r","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","WC / Sanitär","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__008__Kabelgoten_Notbeleuchtung","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Kabelgoten / Notbeleuchtung","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__009__Feste_Ausstattung_Garderobe","has_bauteiltyp","bauteiltyp/Festes_Einbauteil","bauteiltyp/Ausbau","Feste Ausstattung / Garderobe","rule_medium","manual_high","bauteil_festes_einbauteil","manual_40b_consolidate_Festes_Einbauteil"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__009__Feste_Ausstattung_Garderobe","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Feste Ausstattung / Garderobe","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__007__Heizk_rper","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Heizkörper","rule_high","rule_high","bauteil_heizkoerper","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__009__L_ftungsgruppe","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Lüftungsgruppe","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
