"legacy_path","exists","covered_after_phase5","action","target_primary","target_secondary"
"bauteilboerse\cycle-zero.md","True","True","split_platform_profile","software_digitaltool/cycle_zero","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\enviromate.md","True","True","split_platform_profile","software_digitaltool/enviromate","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\gebruiktebouwmaterialen-gbm.md","True","True","split_platform_profile","software_digitaltool/gebruiktebouwmaterialen_gbm","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\genbyg.md","True","True","split_platform_profile","software_digitaltool/genbyg","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\globechain.md","True","True","split_platform_profile","software_digitaltool/globechain","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\insert-marketplace.md","True","True","split_platform_profile","software_digitaltool/insert_marketplace","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\loopfront.md","True","True","split_platform_profile","software_digitaltool/loopfront","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\materialenbank-leuven-atelier-circuler.md","True","True","split_platform_profile","software_digitaltool/materialenbank_leuven_atelier_circuler","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\material-index.md","True","True","split_platform_profile","software_digitaltool/material_index","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\materialrest24.md","True","True","split_platform_profile","software_digitaltool/materialrest24","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\material-reuse-portal.md","True","True","split_platform_profile","software_digitaltool/material_reuse_portal","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\oogstkaart-new-horizon.md","True","True","split_platform_profile","software_digitaltool/oogstkaart_new_horizon","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\raedificare.md","True","True","split_platform_profile","software_digitaltool/raedificare","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\reempro.md","True","True","split_platform_profile","software_digitaltool/reempro","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\resource-marktplaats.md","True","True","split_platform_profile","software_digitaltool/resource_marktplaats","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\restado.md","True","True","split_platform_profile","software_digitaltool/restado","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\re-store-harvestmap-vienna.md","True","True","split_platform_profile","software_digitaltool/re_store_harvestmap_vienna","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\reuse-and-trade.md","True","True","split_platform_profile","software_digitaltool/reuse_and_trade","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\rotordc.md","True","True","split_platform_profile","software_digitaltool/rotordc","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\r-place.md","True","True","split_platform_profile","software_digitaltool/r_place","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\salvoweb.md","True","True","split_platform_profile","software_digitaltool/salvoweb","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\salza.md","True","True","split_platform_profile","software_digitaltool/salza","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\skop-marketplace.md","True","True","split_platform_profile","software_digitaltool/skop_marketplace","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\surplus-building-and-plumbing-materials.md","True","True","split_platform_profile","software_digitaltool/surplus_building_and_plumbing_materials","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\sustainability-yard.md","True","True","split_platform_profile","software_digitaltool/sustainability_yard","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\useagain-bauteilclick.md","True","True","split_platform_profile","software_digitaltool/useagain_bauteilclick","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\warp-it.md","True","True","split_platform_profile","software_digitaltool/warp_it","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilbörse.md","True","True","merge_into_index","software_digitaltool/index","tooltyp/Digitale_Bauteilboerse; beschaffungsweg/Digitale_Plattform"
"beispiel.md","True","True","archive_as_source","meta_or_90_import_rohdaten/beispiel",""
"bericht.md","True","True","merge_into_index","quelle/index",""
"bericht\01_BIM_Berlin_detailed.md","True","True","archive_or_source","quelle/01_BIM_Berlin_detailed",""
"bericht\02_Concular_detailed.md","True","True","archive_or_source","quelle/02_Concular_detailed",""
"bericht\03_Madaster_detailed.md","True","True","archive_or_source","quelle/03_Madaster_detailed",""
"bericht\04_Be_Ware_NBL_detailed.md","True","True","archive_or_source","quelle/04_Be_Ware_NBL_detailed",""
